 vacas_prenadas_calcular2025-01-11 10:25:43,347 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:43,350 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:43,353 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:43,355 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:45,217 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:45,221 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:45,225 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:25:45,232 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:26:51,898 - routes.Muertes_Bovinos - ERROR - Error al obtener Listar ID de Bovino: 
2025-01-11 10:26:52,107 - routes.Datos_Compra - ERROR - Error al obtener Bovinos de Compra: 
2025-01-11 10:26:52,351 - routes.Ventas_Bovinos - ERROR - Error al obtener Bovinos de venta: 
2025-01-11 10:26:52,454 - routes.Prod_leche - ERROR - Error al obtener Listar Produccion Leche: 
2025-01-11 10:27:10,008 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:10,011 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:10,014 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:10,015 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:11,029 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:11,031 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:11,032 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:11,034 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:27:45,848 - routes.Datos_Compra - ERROR - Error al obtener Bovinos de Compra: 
2025-01-11 10:27:45,884 - routes.Muertes_Bovinos - ERROR - Error al obtener Listar ID de Bovino: 
2025-01-11 10:27:46,365 - routes.Ventas_Bovinos - ERROR - Error al obtener Bovinos de venta: 
2025-01-11 10:27:46,567 - routes.Prod_leche - ERROR - Error al obtener Listar Produccion Leche: 
2025-01-11 10:28:16,050 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:16,055 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:16,057 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:16,060 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:17,092 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:17,094 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:17,096 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-11 10:28:17,098 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 13:32:03,482 - routes.rutas_bovinos - ERROR - Error Get_current_user 
2025-01-12 13:32:46,805 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 13:32:46,817 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 13:32:46,824 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 13:32:46,835 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 13:32:46,845 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 13:32:46,852 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 13:32:46,864 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 13:32:46,871 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 13:32:46,883 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 13:32:46,889 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 13:32:46,900 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 13:32:52,956 - Lib.funcion_IEP_por_raza - INFO - Funcion IEP_por_raza
2025-01-12 13:33:55,184 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 13:33:55,189 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 13:33:55,192 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 13:33:55,201 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 13:33:55,205 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 13:33:55,215 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 13:33:55,221 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 13:33:55,225 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 13:33:55,233 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 13:33:55,237 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 13:33:55,241 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 13:35:07,076 - Lib.funcion_IEP_por_raza - INFO - Funcion IEP_por_raza
2025-01-12 14:00:56,497 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 14:00:56,512 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:00:56,527 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:00:56,548 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:00:56,562 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:00:56,574 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:00:56,582 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:00:56,600 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:00:56,615 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:00:56,631 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:00:56,652 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:38:42,786 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 14:38:42,790 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:38:42,796 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:38:42,800 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:38:42,805 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:38:42,809 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:38:42,815 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:38:42,819 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:38:42,823 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:38:42,829 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:38:42,833 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:40:06,205 - Lib.funcion_IEP_por_raza - INFO - Funcion IEP_por_raza
2025-01-12 14:56:20,302 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2028-01-01 
2025-01-12 14:56:20,311 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2026-01-06 
2025-01-12 14:56:20,317 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2027-01-03 
2025-01-12 14:56:20,323 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-07 
2025-01-12 14:56:20,331 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-16 
2025-01-12 14:56:20,335 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-29 
2025-01-12 14:56:20,341 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-22 
2025-01-12 14:56:20,347 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-01-24 
2025-01-12 14:56:20,351 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-04 
2025-01-12 14:56:20,359 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2030-12-30 
2025-01-12 14:56:20,364 - routes.Prod_leche - INFO - Funcion Edad_Sacrificio_Lecheras 2031-12-31 
2025-01-12 14:59:00,631 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
2025-01-12 14:59:00,634 - Lib.actualizacion_peso - ERROR - Error Funcion actualizacion_peso: None
